strain	date	country	pango_lineage	clade_membership	division	region	genbank_accession	author	dataset
USA/FL-CDC-QDX26157271/2021	2021-06-22	USA	AY.75	21I (Delta)	Florida	North America	MZ535087.1	Howard et al S	controls-negative
England/QEUH-173F5F0/2021	2021-06-18	United Kingdom	AY.4	21J (Delta)	England	Europe	OU358465.1	VanSteenhouse et al A	controls-negative
Switzerland/AG-ETHZ-35947998/2022	2022-01-23	Switzerland	BA.1.1	21K (Omicron)	Aargau	Europe	OV882645.1	? G	controls-negative
Denmark/DCGC-323445/2022	2022-01-15	Denmark	BA.2	21L (Omicron)	Hovedstaden	Europe	OW783991.1	Danish Covid-19 Genome et al	controls-negative
USA/PA-CDC-QDX34289597/2022	2022-02-25	USA	BA.3.1	21M (Omicron)	Pennsylvania	North America	OM998782.1	Howard et al BM	controls-negative
USA/NC-CDC-LC0597531/2022	2022-04-22	USA	BA.4	22A (Omicron)	North Carolina	North America	ON465569.1	Howard et al CK	controls-negative
BHR/22920323375_S6_L001/2022	2022-05-11	Bahrain	BA.5	22B (Omicron)	Bahrain	Asia	ON627314.1	Marhoon et al A	controls-negative
USA/RI-CDC-LC0586837/2022	2022-04-13	USA	BA.2.12.1	22C (Omicron)	Rhode Island	North America	ON395248.1	Howard et al BZ	controls-negative
USA/CA-CDC-LC0797902/2022	2022-07-20	USA	BA.2.75	22D (Omicron)	California	North America	OP144984.1	Howard et al BQ	controls-negative
FRA/IHUCOVID-64762/2022	2022-02-09	France	XD			Europe	OM990851.1	NA	controls-positive
England/MILK-3729AD6/2022	2022-02-16	England	XE			Europe	OW016842.1	NA	controls-positive
England/MILK-327F0C5/2022	2022-01-14	England	XF			Europe	OV738853.1	NA	controls-positive
Scotland/QEUH-37E04A0/2022	2022-02-21	Scotland	XG			Europe	OW084783.1	NA	controls-positive
England/MILK-37D141B/2022	2022-02-20	England	XH			Europe	OW042525.1	NA	controls-positive
England/MILK-393A26F/2022	2022-03-04	England	XJ			Europe	OW197337.1	NA	controls-positive
England/MILK-3BFC759/2022	2022-03-23	England	XL			Europe	OW360896.1	NA	controls-positive
USA/NY-Broad-CRSP_WH5TJZ42BYV4BC3T/2022	2022-03-28	USA	XM			North America	ON199453.1	NA	controls-positive
England/MILK-3B62C6E/2022	2022-03-19	England	XN			Europe	OW320124.1	NA	controls-positive
Wales/LSPA-3A9969E/2022	2022-03-13	Wales	XR			Europe	OW286587.1	NA	controls-positive
Scotland/QEUH-38D11C8/2022	2022-03-02	Scotland	XP			Europe	OW159779.1	NA	controls-positive
USA/CO-CDC-FG-248528/2022	2022-01-19	USA	XS			North America	OM477123.1	NA	controls-positive
England/MILK-38AA91B/2022	2022-02-28	England	XQ			Europe	OW192527.1	NA	controls-positive
Germany/OW765577.1/2022	2022-03-18	Germany	XAB			Europe	OW765577.1	NA	controls-positive
USA/TX-CDC-STM-9J566SSEM/2022	2022-06-10	USA	XAF			North America	ON836693.1	NA	controls-positive
USA/CA-CDC-QDX37910441/2022	2022-06-09	USA	XAN			North America	ON847076.1	NA	controls-positive
Denmark/OX236618.1/2022	2022-07-06	Denmark	XAK			Europe	OX236618.1	NA	controls-positive
Denmark/OX214489.1/2022	2022-06-06	Denmark	XAL			Europe	OX214489.1	NA	controls-positive
USA/CA-CDC-LC0660066/2022	2022-05-22	USA	XAP			North America	ON660081.1	NA	controls-positive
USA/IL-CDC-STM-9T8P4JYCF/2022	2022-07-26	USA	XAS			North America	OP165352.1	NA	controls-positive
England/LSPA-3E384C0/2022	2022-05-29	England	XAU			Europe	OX037941.1	NA	controls-positive
England/PLYM-3EDDB04/2022	2022-07-11	England	XAZ			Europe	OX241975.1	NA	controls-positive
